"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"TCGA-86-8671-01","False","False","5.30","2.28","0.40","1.91","0.89","2.01","True","5.30","-2.90","-0.23","0.02","-0.05"
"TCGA-50-6591-01","True","False","4.63","-2.86","0.08","-2.49","-2.25","-2.19","False","-2.69","4.63","0.25","0.11","0.07"
"TCGA-44-6774-01","False","False","4.14","-0.41","0.16","-0.15","-0.27","-1.11","False","0.80","4.14","0.03","0.39","-0.02"
"TCGA-91-6829-01","False","False","4.10","-0.84","0.14","-0.24","0.36","0.03","False","-1.56","4.10","0.09","0.28","0.01"
"TCGA-38-4627-01","False","False","4.05","-0.06","0.44","0.11","-0.67","-0.48","False","1.00","4.05","-0.02","0.38","0.02"
"TCGA-55-6975-01","True","False","3.99","-1.23","0.38","-0.65","-1.60","-0.42","False","-0.85","3.99","0.16","0.21","0.01"
"TCGA-86-8055-01","False","False","3.82","0.36","0.28","0.01","0.25","-0.51","False","0.08","3.82","0.08","0.31","-0.04"
"TCGA-44-2657-01","False","False","3.75","1.26","0.42","1.10","-0.47","1.94","True","3.75","-2.85","-0.20","-0.07","0.01"
"TCGA-99-8028-01","False","False","3.74","1.90","0.29","1.71","1.85","1.83","True","3.74","-1.69","-0.15","0.12","-0.11"
"TCGA-78-8648-01","False","False","3.71","0.24","0.23","0.97","0.02","1.62","True","3.71","0.02","-0.19","0.27","-0.07"
"TCGA-38-7271-01","False","False","3.67","0.49","0.22","1.22","0.06","1.93","True","3.67","-2.01","-0.19","0.03","-0.02"
"TCGA-64-5775-01","True","False","3.67","-1.63","0.53","-0.87","2.98","-1.40","False","-1.41","3.67","0.20","0.13","0.00"
"TCGA-55-7726-01","False","False","3.67","-0.30","0.14","-0.73","-0.64","-1.40","False","-1.06","3.67","0.13","0.25","-0.02"
"TCGA-99-AA5R-01","False","False","3.65","0.34","0.38","0.70","0.85","1.27","True","3.65","-2.49","-0.19","-0.01","-0.03"
"TCGA-50-6595-01","False","False","3.65","2.05","0.36","1.17","2.79","0.13","False","0.34","3.65","0.19","0.23","-0.09"
"TCGA-64-1679-01","False","False","3.58","-0.12","0.15","-0.32","0.15","-1.81","False","0.46","3.58","0.07","0.28","-0.02"
"TCGA-44-2665-01","False","False","3.49","-0.14","0.82","0.12","1.03","-1.02","False","-0.19","3.49","0.01","0.32","-0.00"
"TCGA-50-5931-01","True","False","3.46","-1.10","0.64","-1.32","-1.85","-0.17","False","-2.33","3.46","0.21","0.06","0.04"
"TCGA-93-7347-01","False","False","3.42","0.90","0.54","0.99","-0.23","1.76","True","3.42","-1.54","-0.19","0.05","-0.00"
"TCGA-75-7027-01","False","False","3.39","-0.78","0.31","-0.71","-1.29","-0.87","False","-1.89","3.39","0.16","0.14","0.02"
"TCGA-L9-A743-01","False","False","3.38","0.92","0.43","0.86","0.81","1.02","True","3.38","-1.28","-0.09","0.05","-0.08"
